date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2019-03-22,UEFA Euro qualification,Moldova,France,1,L,1,4,0,NA,Chișinău,Moldova,FALSE,25.857142857142858,70.71428571428571,2,0
2019-03-22,UEFA Euro qualification,France,Moldova,-1,W,4,1,3,NA,Chișinău,Moldova,FALSE,26.285714285714285,70.71428571428571,2,0
2010-06-17,FIFA World Cup,France,Mexico,0,L,0,2,0,NA,Polokwane,South Africa,TRUE,27.53846153846154,76.15384615384616,2,0
2010-06-17,FIFA World Cup,Mexico,France,0,W,2,0,3,NA,Polokwane,South Africa,TRUE,27.642857142857142,70.71428571428571,4,0
2019-03-23,Friendly,Brazil,Panama,0,D,1,1,1,NA,Porto,Portugal,TRUE,24.857142857142858,70.71428571428572,1,0
2019-03-23,Friendly,Panama,Brazil,0,D,1,1,1,NA,Porto,Portugal,TRUE,26,58.23529411764705,2,0
2019-03-23,UEFA Euro qualification,Georgia,Switzerland,1,L,0,2,0,NA,Tbilisi,Georgia,FALSE,26.571428571428573,70.71428571428571,3,0
2019-03-23,UEFA Euro qualification,Switzerland,Georgia,-1,W,2,0,3,NA,Tbilisi,Georgia,FALSE,26,70.71428571428571,1,0
2019-03-23,UEFA Euro qualification,Malta,Faroe Islands,1,W,2,1,3,NA,Attard,Malta,FALSE,27.785714285714285,68.64285714285714,3,1
2019-03-23,UEFA Euro qualification,Faroe Islands,Malta,-1,L,1,2,0,NA,Attard,Malta,FALSE,27.714285714285715,70.71428571428571,4,0
2019-03-23,UEFA Euro qualification,Sweden,Romania,1,W,2,1,3,NA,Stockholm,Sweden,FALSE,27.5,70.71428571428571,2,0
2019-03-23,UEFA Euro qualification,Romania,Sweden,-1,L,1,2,0,NA,Stockholm,Sweden,FALSE,25.785714285714285,70.71428571428571,3,0
2019-03-23,UEFA Euro qualification,Spain,Norway,1,W,2,1,3,NA,Valencia,Spain,FALSE,27.714285714285715,70.71428571428571,2,0
2019-03-23,UEFA Euro qualification,Norway,Spain,-1,L,1,2,0,NA,Valencia,Spain,FALSE,26.571428571428573,70.71428571428571,4,0
2019-03-23,UEFA Euro qualification,Italy,Finland,1,W,2,0,3,NA,Udine,Italy,FALSE,26.071428571428573,70.71428571428571,2,0
2019-03-23,UEFA Euro qualification,Finland,Italy,-1,L,0,2,0,NA,Udine,Italy,FALSE,26.857142857142858,70.71428571428571,1,0
2019-03-23,UEFA Euro qualification,Liechtenstein,Greece,1,L,0,2,0,NA,Vaduz,Liechtenstein,FALSE,26.571428571428573,70.71428571428571,0,0
2019-03-23,UEFA Euro qualification,Greece,Liechtenstein,-1,W,2,0,3,NA,Vaduz,Liechtenstein,FALSE,26.142857142857142,70.71428571428571,1,0
2019-03-24,Friendly,Fiji,Mauritius,1,W,1,0,3,NA,Lautoka,Fiji,FALSE,27.714285714285715,70.71428571428572,2,0
2019-03-24,Friendly,Mauritius,Fiji,-1,L,0,1,0,NA,Lautoka,Fiji,FALSE,26.2,65.4,4,1
2019-03-24,UEFA Euro qualification,Northern Ireland,Belarus,1,W,2,1,3,NA,Belfast,Northern Ireland,FALSE,27.214285714285715,70.71428571428571,0,0
2019-03-24,UEFA Euro qualification,Belarus,Northern Ireland,-1,L,1,2,0,NA,Belfast,Northern Ireland,FALSE,29.928571428571427,70.71428571428572,1,0
2019-03-24,UEFA Euro qualification,Netherlands,Germany,1,L,2,3,0,NA,Amsterdam,Netherlands,FALSE,25.76923076923077,76.15384615384616,1,0
2019-03-24,UEFA Euro qualification,Germany,Netherlands,-1,W,3,2,3,NA,Amsterdam,Netherlands,FALSE,25.615384615384617,76.15384615384616,0,0
2010-06-17,FIFA World Cup,Greece,Nigeria,0,W,2,1,3,NA,Bloemfontein,South Africa,TRUE,26.846153846153847,76.15384615384616,3,0
2010-06-17,FIFA World Cup,Nigeria,Greece,0,L,1,2,0,NA,Bloemfontein,South Africa,TRUE,26.071428571428573,70.71428571428572,1,0
2019-03-24,UEFA Euro qualification,Wales,Slovakia,1,W,1,0,3,NA,Cardiff,Wales,FALSE,24.785714285714285,70.71428571428571,2,0
2019-03-24,UEFA Euro qualification,Slovakia,Wales,-1,L,0,1,0,NA,Cardiff,Wales,FALSE,26.785714285714285,70.71428571428571,7,0
2019-03-24,UEFA Euro qualification,Hungary,Croatia,1,W,2,1,3,NA,Budapest,Hungary,FALSE,26.642857142857142,70.71428571428571,1,0
2019-03-24,UEFA Euro qualification,Croatia,Hungary,-1,L,1,2,0,NA,Budapest,Hungary,FALSE,27.214285714285715,70.71428571428571,1,0
2019-03-24,UEFA Euro qualification,Israel,Austria,1,W,4,2,3,NA,Haifa,Israel,FALSE,28.642857142857142,70.71428571428571,3,0
2019-03-24,UEFA Euro qualification,Austria,Israel,-1,L,2,4,0,NA,Haifa,Israel,FALSE,27,70.71428571428571,5,0
2019-03-24,UEFA Euro qualification,Poland,Latvia,1,W,2,0,3,NA,Warsaw,Poland,FALSE,27.285714285714285,70.71428571428571,2,0
2019-03-24,UEFA Euro qualification,Latvia,Poland,-1,L,0,2,0,NA,Warsaw,Poland,FALSE,26.214285714285715,70.71428571428571,3,0
2019-03-24,UEFA Euro qualification,San Marino,Scotland,1,L,0,2,0,NA,Serravalle,San Marino,FALSE,24.714285714285715,70.71428571428571,1,0
2019-03-24,UEFA Euro qualification,Scotland,San Marino,-1,W,2,0,3,NA,Serravalle,San Marino,FALSE,25.142857142857142,70.71428571428571,1,0
2019-03-24,UEFA Euro qualification,Kazakhstan,Russia,1,L,0,4,0,NA,Nur-Sultan,Kazakhstan,FALSE,26,70.71428571428571,4,0
2019-03-24,UEFA Euro qualification,Russia,Kazakhstan,-1,W,4,0,3,NA,Nur-Sultan,Kazakhstan,FALSE,27.571428571428573,70.71428571428571,1,0
2019-03-24,UEFA Euro qualification,Cyprus,Belgium,1,L,0,2,0,NA,Nicosia,Cyprus,FALSE,27.428571428571427,70.71428571428572,0,0
2019-03-24,UEFA Euro qualification,Belgium,Cyprus,-1,W,2,0,3,NA,Nicosia,Cyprus,FALSE,26.357142857142858,70.71428571428572,0,0
2019-03-25,Friendly,Azerbaijan,Lithuania,1,D,0,0,1,NA,Baku,Azerbaijan,FALSE,25.705882352941178,58.23529411764706,2,0
2019-03-25,Friendly,Lithuania,Azerbaijan,-1,D,0,0,1,NA,Baku,Azerbaijan,FALSE,26.823529411764707,58.23529411764706,3,0
2019-03-25,Friendly,Kuwait,Nepal,1,W,1,0,3,NA,Al Ahmadi,Kuwait,FALSE,27.375,61.875,3,0
2019-03-25,Friendly,Nepal,Kuwait,-1,L,0,1,0,NA,Al Ahmadi,Kuwait,FALSE,26.4375,61.875,1,0
2019-03-25,Friendly,Myanmar,Indonesia,1,L,0,2,0,NA,Mandalay,Myanmar,FALSE,24.125,61.875,2,0
2019-03-25,Friendly,Indonesia,Myanmar,-1,W,2,0,3,NA,Mandalay,Myanmar,FALSE,27.294117647058822,58.23529411764706,0,0
2010-06-18,FIFA World Cup,England,Algeria,0,D,0,0,1,NA,Cape Town,South Africa,TRUE,29.071428571428573,70.71428571428571,1,0
2010-06-18,FIFA World Cup,Algeria,England,0,D,0,0,1,NA,Cape Town,South Africa,TRUE,25.142857142857142,70.71428571428571,1,0
2019-03-25,UEFA Euro qualification,Kosovo,Bulgaria,1,D,1,1,1,NA,Pristina,Kosovo,FALSE,23.714285714285715,70.71428571428572,3,0
2019-03-25,UEFA Euro qualification,Bulgaria,Kosovo,-1,D,1,1,1,NA,Pristina,Kosovo,FALSE,26.857142857142858,70.71428571428571,5,0
2019-03-25,UEFA Euro qualification,Montenegro,England,1,L,1,5,0,NA,Podgorica,Montenegro,FALSE,26.5,70.71428571428572,1,0
2019-03-25,UEFA Euro qualification,England,Montenegro,-1,W,5,1,3,NA,Podgorica,Montenegro,FALSE,24.714285714285715,70.71428571428571,3,0
2019-03-25,UEFA Euro qualification,Portugal,Serbia,1,D,1,1,1,NA,Lisbon,Portugal,FALSE,26.857142857142858,70.71428571428571,1,0
2019-03-25,UEFA Euro qualification,Serbia,Portugal,-1,D,1,1,1,NA,Lisbon,Portugal,FALSE,25.857142857142858,70.71428571428571,3,0
2019-03-25,UEFA Euro qualification,Luxembourg,Ukraine,1,L,1,2,0,NA,Luxembourg City,Luxembourg,FALSE,25.076923076923077,76.15384615384616,4,0
2019-03-25,UEFA Euro qualification,Ukraine,Luxembourg,-1,W,2,1,3,NA,Luxembourg City,Luxembourg,FALSE,25.571428571428573,70.71428571428571,2,0
2019-03-25,UEFA Euro qualification,Andorra,Albania,1,L,0,3,0,NA,Andorra la Vella,Andorra,FALSE,28.5,70.71428571428572,4,0
2019-03-25,UEFA Euro qualification,Albania,Andorra,-1,W,3,0,3,NA,Andorra la Vella,Andorra,FALSE,26.642857142857142,70.71428571428572,1,0
2019-03-25,UEFA Euro qualification,France,Iceland,1,W,4,0,3,NA,Paris,France,FALSE,26.357142857142858,70.71428571428571,1,0
2019-03-25,UEFA Euro qualification,Iceland,France,-1,L,0,4,0,NA,Paris,France,FALSE,29.285714285714285,70.71428571428572,1,0
2019-03-26,Friendly,Algeria,Tunisia,1,W,1,0,3,NA,Blida,Algeria,FALSE,25.928571428571427,70.71428571428572,2,0
2019-03-26,Friendly,Tunisia,Algeria,-1,L,0,1,0,NA,Blida,Algeria,FALSE,26,66,2,0
2019-03-26,Friendly,Costa Rica,Jamaica,1,W,1,0,3,NA,San José,Costa Rica,FALSE,26.11764705882353,58.23529411764705,1,0
2019-03-26,Friendly,Jamaica,Costa Rica,-1,L,0,1,0,NA,San José,Costa Rica,FALSE,25.529411764705884,58.23529411764706,0,0
2019-03-26,Friendly,Czech Republic,Brazil,1,L,1,3,0,NA,Prague,Czech Republic,FALSE,26.58823529411765,58.23529411764706,0,0
2019-03-26,Friendly,Brazil,Czech Republic,-1,W,3,1,3,NA,Prague,Czech Republic,FALSE,25.125,61.875,1,0
2019-03-26,Friendly,Ghana,Mauritania,1,W,3,1,3,NA,Accra,Ghana,FALSE,25.5,61.875,2,0
2019-03-26,Friendly,Mauritania,Ghana,-1,L,1,3,0,NA,Accra,Ghana,FALSE,23.058823529411764,58.23529411764706,1,0
2010-06-18,FIFA World Cup,Germany,Serbia,0,L,0,1,0,NA,Port Elizabeth,South Africa,TRUE,24.785714285714285,66.85714285714286,5,1
2010-06-18,FIFA World Cup,Serbia,Germany,0,W,1,0,3,NA,Port Elizabeth,South Africa,TRUE,25.5,70.71428571428571,4,0
2019-03-26,Friendly,Gibraltar,Estonia,1,L,0,1,0,NA,Gibraltar,Gibraltar,FALSE,26.647058823529413,58.23529411764706,1,0
2019-03-26,Friendly,Estonia,Gibraltar,-1,W,1,0,3,NA,Gibraltar,Gibraltar,FALSE,27,66,1,0
2019-03-26,Friendly,Honduras,Ecuador,0,D,0,0,1,NA,Harrison,United States,TRUE,26.833333333333332,82.5,1,0
2019-03-26,Friendly,Ecuador,Honduras,0,D,0,0,1,NA,Harrison,United States,TRUE,26.1875,61.875,1,0
2019-03-26,Friendly,Morocco,Argentina,1,L,0,1,0,NA,Tangier,Morocco,FALSE,27.764705882352942,58.23529411764705,4,0
2019-03-26,Friendly,Argentina,Morocco,-1,W,1,0,3,NA,Tangier,Morocco,FALSE,25.11764705882353,58.23529411764706,2,0
2019-03-26,Friendly,Nicaragua,Guatemala,1,L,0,1,0,NA,Managua,Nicaragua,FALSE,25.11764705882353,58.23529411764706,1,0
2019-03-26,Friendly,Guatemala,Nicaragua,-1,W,1,0,3,NA,Managua,Nicaragua,FALSE,27.466666666666665,66,2,0
2019-03-26,Friendly,Nigeria,Egypt,1,W,1,0,3,NA,Asaba,Nigeria,FALSE,25,58.23529411764705,1,0
2019-03-26,Friendly,Egypt,Nigeria,-1,L,0,1,0,NA,Asaba,Nigeria,FALSE,24.5,61.875,2,0
2019-03-26,Friendly,Senegal,Mali,1,W,2,1,3,NA,Dakar,Senegal,FALSE,25.75,61.875,2,0
2019-03-26,Friendly,Mali,Senegal,-1,L,1,2,0,NA,Dakar,Senegal,FALSE,24.11764705882353,58.23529411764706,1,0
2019-03-26,Friendly,United States,Chile,1,D,1,1,1,NA,Houston,United States,FALSE,25.25,61.875,1,0
2019-03-26,Friendly,Chile,United States,-1,D,1,1,1,NA,Houston,United States,FALSE,27.333333333333332,66,3,0
2019-03-26,UEFA Euro qualification,Switzerland,Denmark,1,D,3,3,1,NA,Basel,Switzerland,FALSE,24.714285714285715,70.71428571428572,3,0
2019-03-26,UEFA Euro qualification,Denmark,Switzerland,-1,D,3,3,1,NA,Basel,Switzerland,FALSE,27.923076923076923,76.15384615384616,1,0
2019-03-26,UEFA Euro qualification,Malta,Spain,1,L,0,2,0,NA,Attard,Malta,FALSE,27.071428571428573,70.71428571428572,1,0
2019-03-26,UEFA Euro qualification,Spain,Malta,-1,W,2,0,3,NA,Attard,Malta,FALSE,26.071428571428573,70.71428571428572,0,0
2019-03-26,UEFA Euro qualification,Norway,Sweden,1,D,3,3,1,NA,Oslo,Norway,FALSE,25.846153846153847,76.15384615384616,4,0
2019-03-26,UEFA Euro qualification,Sweden,Norway,-1,D,3,3,1,NA,Oslo,Norway,FALSE,27.285714285714285,70.71428571428572,3,0
2010-06-18,FIFA World Cup,Slovenia,United States,0,D,2,2,1,NA,Johannesburg,South Africa,TRUE,26.642857142857142,70.71428571428571,4,0
2010-06-18,FIFA World Cup,United States,Slovenia,0,D,2,2,1,NA,Johannesburg,South Africa,TRUE,26.5,70.71428571428571,1,0
2019-03-26,UEFA Euro qualification,Romania,Faroe Islands,1,W,4,1,3,NA,Cluj-Napoca,Romania,FALSE,26.428571428571427,70.71428571428572,4,0
2019-03-26,UEFA Euro qualification,Faroe Islands,Romania,-1,L,1,4,0,NA,Cluj-Napoca,Romania,FALSE,28.142857142857142,70.71428571428571,3,0
2019-03-26,UEFA Euro qualification,Italy,Liechtenstein,1,W,6,0,3,NA,Parma,Italy,FALSE,26.214285714285715,70.71428571428571,1,0
2019-03-26,UEFA Euro qualification,Liechtenstein,Italy,-1,L,0,6,0,NA,Parma,Italy,FALSE,25.714285714285715,67.42857142857143,1,1
2019-03-26,UEFA Euro qualification,Armenia,Finland,1,L,0,2,0,NA,Yerevan,Armenia,FALSE,27.5,70.71428571428572,4,0
2019-03-26,UEFA Euro qualification,Finland,Armenia,-1,W,2,0,3,NA,Yerevan,Armenia,FALSE,27.285714285714285,70.71428571428571,3,0
2019-05-28,Friendly,Laos,Sri Lanka,1,W,2,1,3,NA,Vientiane,Laos,FALSE,22.41176470588235,58.23529411764706,1,0
2019-05-28,Friendly,Sri Lanka,Laos,-1,L,1,2,0,NA,Vientiane,Laos,FALSE,23.785714285714285,70.71428571428571,3,0
2019-05-31,Friendly,Laos,Sri Lanka,1,D,2,2,1,NA,Vientiane,Laos,FALSE,23.235294117647058,58.23529411764706,3,0
2019-05-31,Friendly,Sri Lanka,Laos,-1,D,2,2,1,NA,Vientiane,Laos,FALSE,23.285714285714285,70.14285714285714,7,1
2019-06-01,Friendly,Venezuela,Ecuador,0,D,1,1,1,NA,Miami Gardens,United States,TRUE,24.529411764705884,58.23529411764706,2,0
2019-06-01,Friendly,Ecuador,Venezuela,0,D,1,1,1,NA,Miami Gardens,United States,TRUE,27.642857142857142,70.71428571428572,1,0
2019-06-02,Friendly,El Salvador,Haiti,0,W,1,0,3,NA,Washington,United States,TRUE,27.466666666666665,66,0,0
2019-06-02,Friendly,Haiti,El Salvador,0,L,0,1,0,NA,Washington,United States,TRUE,24.823529411764707,58.23529411764706,0,0
2019-06-02,Friendly,France,Bolivia,1,W,2,0,3,NA,Nantes,France,FALSE,24.88235294117647,58.23529411764706,0,0
2019-06-02,Friendly,Bolivia,France,-1,L,0,2,0,NA,Nantes,France,FALSE,26.294117647058822,58.23529411764706,1,0
2019-06-02,Friendly,Luxembourg,Madagascar,1,D,3,3,1,NA,Luxembourg City,Luxembourg,FALSE,24.88235294117647,58.23529411764706,0,0
2019-06-02,Friendly,Madagascar,Luxembourg,-1,D,3,3,1,NA,Luxembourg City,Luxembourg,FALSE,28.705882352941178,58.23529411764706,1,0
2019-06-02,Friendly,Malaysia,Nepal,1,W,2,0,3,NA,Kuala Lumpur,Malaysia,FALSE,24.529411764705884,58.23529411764706,1,0
2019-06-02,Friendly,Nepal,Malaysia,-1,L,0,2,0,NA,Kuala Lumpur,Malaysia,FALSE,24.9375,61.875,0,0
2010-06-19,FIFA World Cup,Cameroon,Denmark,0,L,1,2,0,NA,Pretoria,South Africa,TRUE,26.142857142857142,70.71428571428571,2,0
2010-06-19,FIFA World Cup,Denmark,Cameroon,0,W,2,1,3,NA,Pretoria,South Africa,TRUE,28.571428571428573,70.71428571428572,2,0
2019-06-03,Friendly,Colombia,Panama,1,W,3,0,3,NA,Bogotá,Colombia,FALSE,26.823529411764707,58.23529411764706,0,0
2019-06-03,Friendly,Panama,Colombia,-1,L,0,3,0,NA,Bogotá,Colombia,FALSE,26.470588235294116,58.23529411764706,0,0
2019-06-05,Friendly,Brazil,Qatar,1,W,2,0,3,NA,Brasília,Brazil,FALSE,26.352941176470587,58.23529411764705,1,0
2019-06-05,Friendly,Qatar,Brazil,-1,L,0,2,0,NA,Brasília,Brazil,FALSE,25.2,66,2,0
2019-06-05,Friendly,Mexico,Venezuela,0,W,3,1,3,NA,Atlanta,United States,TRUE,25.176470588235293,58.23529411764706,1,0
2019-06-05,Friendly,Venezuela,Mexico,0,L,1,3,0,NA,Atlanta,United States,TRUE,25,61.875,2,0
2019-06-05,Friendly,Paraguay,Honduras,1,D,1,1,1,NA,Ciudad del Este,Paraguay,FALSE,27.25,61.875,1,0
2019-06-05,Friendly,Honduras,Paraguay,-1,D,1,1,1,NA,Ciudad del Este,Paraguay,FALSE,26.823529411764707,58.23529411764705,2,0
2019-06-05,Friendly,Peru,Costa Rica,1,W,1,0,3,NA,Lima,Peru,FALSE,26.941176470588236,58.23529411764705,1,0
2019-06-05,Friendly,Costa Rica,Peru,-1,L,0,1,0,NA,Lima,Peru,FALSE,28.125,61.875,2,0
2019-06-05,Friendly,United States,Jamaica,1,L,0,1,0,NA,Washington,United States,FALSE,23.88235294117647,58.23529411764705,0,0
2019-06-05,Friendly,Jamaica,United States,-1,W,1,0,3,NA,Washington,United States,FALSE,24.88235294117647,58.23529411764706,0,0
2019-06-05,UEFA Nations League,Portugal,Switzerland,1,W,3,1,3,NA,Porto,Portugal,FALSE,27,70.71428571428571,0,0
2019-06-05,UEFA Nations League,Switzerland,Portugal,-1,L,1,3,0,NA,Porto,Portugal,FALSE,25.857142857142858,70.71428571428571,3,0
2019-06-06,Friendly,Bermuda,Guyana,1,W,1,0,3,NA,Hamilton,Bermuda,FALSE,24.647058823529413,58.23529411764706,2,0
2019-06-06,Friendly,Guyana,Bermuda,-1,L,0,1,0,NA,Hamilton,Bermuda,FALSE,25.529411764705884,58.23529411764706,1,0
2019-06-06,Friendly,Chile,Haiti,1,W,2,1,3,NA,Coquimbo,Chile,FALSE,28.823529411764707,58.23529411764706,1,0
2019-06-06,Friendly,Haiti,Chile,-1,L,1,2,0,NA,Coquimbo,Chile,FALSE,25.647058823529413,58.23529411764705,2,0
2019-06-07,UEFA Euro qualification,Czech Republic,Bulgaria,1,W,2,1,3,NA,Prague,Czech Republic,FALSE,26.714285714285715,70.71428571428572,2,0
2019-06-07,UEFA Euro qualification,Bulgaria,Czech Republic,-1,L,1,2,0,NA,Prague,Czech Republic,FALSE,26.285714285714285,70.71428571428571,4,0
1998-06-19,FIFA World Cup,Spain,Paraguay,0,D,0,0,1,NA,Saint-Étienne,France,TRUE,26.857142857142858,70.71428571428571,2,0
1998-06-19,FIFA World Cup,Paraguay,Spain,0,D,0,0,1,NA,Saint-Étienne,France,TRUE,25.571428571428573,70.71428571428571,2,0
2010-06-19,FIFA World Cup,Ghana,Australia,0,D,1,1,1,NA,Rustenburg,South Africa,TRUE,24.571428571428573,70.71428571428571,3,0
2010-06-19,FIFA World Cup,Australia,Ghana,0,D,1,1,1,NA,Rustenburg,South Africa,TRUE,29.428571428571427,65.92857142857143,1,1
2019-06-07,UEFA Euro qualification,Montenegro,Kosovo,1,D,1,1,1,NA,Podgorica,Montenegro,FALSE,26.571428571428573,70.71428571428572,2,0
2019-06-07,UEFA Euro qualification,Kosovo,Montenegro,-1,D,1,1,1,NA,Podgorica,Montenegro,FALSE,23.571428571428573,70.71428571428571,3,0
2019-06-07,UEFA Euro qualification,Lithuania,Luxembourg,1,D,1,1,1,NA,Vilnius,Lithuania,FALSE,27.285714285714285,67.14285714285714,8,2
2019-06-07,UEFA Euro qualification,Luxembourg,Lithuania,-1,D,1,1,1,NA,Vilnius,Lithuania,FALSE,24.142857142857142,70.71428571428571,3,0
2019-06-07,UEFA Euro qualification,Ukraine,Serbia,1,W,5,0,3,NA,Lviv,Ukraine,FALSE,25.5,70.71428571428572,0,0
2019-06-07,UEFA Euro qualification,Serbia,Ukraine,-1,L,0,5,0,NA,Lviv,Ukraine,FALSE,26.428571428571427,70.71428571428571,2,0
2019-06-07,UEFA Euro qualification,Georgia,Gibraltar,1,W,3,0,3,NA,Tbilisi,Georgia,FALSE,26.142857142857142,70.71428571428571,1,0
2019-06-07,UEFA Euro qualification,Gibraltar,Georgia,-1,L,0,3,0,NA,Tbilisi,Georgia,FALSE,26.357142857142858,70.71428571428571,3,0
2019-06-07,UEFA Euro qualification,Faroe Islands,Spain,1,L,1,4,0,NA,Tórshavn,Faroe Islands,FALSE,27.214285714285715,70.71428571428571,0,0
2019-06-07,UEFA Euro qualification,Spain,Faroe Islands,-1,W,4,1,3,NA,Tórshavn,Faroe Islands,FALSE,26.785714285714285,70.71428571428571,1,0
2019-06-07,UEFA Euro qualification,Norway,Romania,1,D,2,2,1,NA,Oslo,Norway,FALSE,25.833333333333332,82.5,1,0
2019-06-07,UEFA Euro qualification,Romania,Norway,-1,D,2,2,1,NA,Oslo,Norway,FALSE,28.785714285714285,70.71428571428572,2,0
2019-06-07,UEFA Euro qualification,Sweden,Malta,1,W,3,0,3,NA,Stockholm,Sweden,FALSE,27.357142857142858,70.71428571428571,0,0
2019-06-07,UEFA Euro qualification,Malta,Sweden,-1,L,0,3,0,NA,Stockholm,Sweden,FALSE,26.571428571428573,70.71428571428572,1,0
2019-06-07,UEFA Euro qualification,Austria,Slovenia,1,W,1,0,3,NA,Klagenfurt,Austria,FALSE,26.714285714285715,70.71428571428571,2,0
2019-06-07,UEFA Euro qualification,Slovenia,Austria,-1,L,0,1,0,NA,Klagenfurt,Austria,FALSE,26.714285714285715,70.71428571428572,1,0
2019-06-07,UEFA Euro qualification,Latvia,Israel,1,L,0,3,0,NA,Riga,Latvia,FALSE,26.714285714285715,70.71428571428572,2,0
2019-06-07,UEFA Euro qualification,Israel,Latvia,-1,W,3,0,3,NA,Riga,Latvia,FALSE,27.857142857142858,70.71428571428571,1,0
2019-06-07,Friendly,Argentina,Nicaragua,1,W,5,1,3,NA,San Juan,Argentina,FALSE,26.705882352941178,58.23529411764706,1,0
2019-06-07,Friendly,Nicaragua,Argentina,-1,L,1,5,0,NA,San Juan,Argentina,FALSE,27.764705882352942,58.23529411764706,2,0
2010-06-19,FIFA World Cup,Netherlands,Japan,0,W,1,0,3,NA,Durban,South Africa,TRUE,27.071428571428573,70.71428571428571,1,0
2010-06-19,FIFA World Cup,Japan,Netherlands,0,L,0,1,0,NA,Durban,South Africa,TRUE,27.785714285714285,70.71428571428572,0,0
2019-06-07,Friendly,Kenya,Madagascar,1,W,1,0,3,NA,Bondoufle,Kenya,FALSE,25.466666666666665,66,0,0
2019-06-07,Friendly,Madagascar,Kenya,-1,L,0,1,0,NA,Bondoufle,Kenya,FALSE,29.363636363636363,90,0,0
2019-06-07,Friendly,Tunisia,Iraq,1,W,2,0,3,NA,Radès,Tunisia,FALSE,23.941176470588236,58.23529411764705,1,0
2019-06-07,Friendly,Iraq,Tunisia,-1,L,0,2,0,NA,Radès,Tunisia,FALSE,23.375,58.23529411764706,2,0
2019-06-07,Friendly,Uruguay,Panama,1,W,3,0,3,NA,Montevideo,Uruguay,FALSE,26.470588235294116,58.23529411764706,1,0
2019-06-07,Friendly,Panama,Uruguay,-1,L,0,3,0,NA,Montevideo,Uruguay,FALSE,27.25,61.875,0,0
2019-06-08,UEFA Euro qualification,Estonia,Northern Ireland,1,L,1,2,0,NA,Tallinn,Estonia,FALSE,26.928571428571427,70.71428571428572,1,0
2019-06-08,UEFA Euro qualification,Northern Ireland,Estonia,-1,W,2,1,3,NA,Tallinn,Estonia,FALSE,26.857142857142858,70.71428571428571,1,0
2019-06-08,UEFA Euro qualification,Belarus,Germany,1,L,0,2,0,NA,Borisov,Belarus,FALSE,28.214285714285715,70.71428571428571,2,0
2019-06-08,UEFA Euro qualification,Germany,Belarus,-1,W,2,0,3,NA,Borisov,Belarus,FALSE,25.214285714285715,70.71428571428571,0,0
2019-06-08,UEFA Euro qualification,Croatia,Wales,1,W,2,1,3,NA,Osijek,Croatia,FALSE,26.714285714285715,70.71428571428571,5,0
2019-06-08,UEFA Euro qualification,Wales,Croatia,-1,L,1,2,0,NA,Osijek,Croatia,FALSE,23.571428571428573,70.71428571428571,1,0
2019-06-08,UEFA Euro qualification,Azerbaijan,Hungary,1,L,1,3,0,NA,Baku,Azerbaijan,FALSE,25.428571428571427,70.71428571428572,3,0
2019-06-08,UEFA Euro qualification,Hungary,Azerbaijan,-1,W,3,1,3,NA,Baku,Azerbaijan,FALSE,27.285714285714285,70.71428571428572,3,0
2019-06-08,UEFA Euro qualification,Iceland,Albania,1,W,1,0,3,NA,Reykjavík,Iceland,FALSE,29.214285714285715,70.71428571428571,1,0
2019-06-08,UEFA Euro qualification,Albania,Iceland,-1,L,0,1,0,NA,Reykjavík,Iceland,FALSE,27.071428571428573,70.71428571428572,3,0
2019-06-08,UEFA Euro qualification,Moldova,Andorra,1,W,1,0,3,NA,Chișinău,Moldova,FALSE,27,67.57142857142857,3,1
2019-06-08,UEFA Euro qualification,Andorra,Moldova,-1,L,0,1,0,NA,Chișinău,Moldova,FALSE,27.071428571428573,70.71428571428571,2,0
2019-06-08,UEFA Euro qualification,Russia,San Marino,1,W,9,0,3,NA,Saransk,Russia,FALSE,27.071428571428573,70.71428571428572,0,0
2019-06-08,UEFA Euro qualification,San Marino,Russia,-1,L,0,9,0,NA,Saransk,Russia,FALSE,25.357142857142858,70.71428571428571,2,0
2010-06-20,FIFA World Cup,Italy,New Zealand,0,D,1,1,1,NA,Nelspruit,South Africa,TRUE,28,70.71428571428571,0,0
2010-06-20,FIFA World Cup,New Zealand,Italy,0,D,1,1,1,NA,Nelspruit,South Africa,TRUE,27.785714285714285,70.71428571428571,3,0
2019-06-08,UEFA Euro qualification,Scotland,Cyprus,1,W,2,1,3,NA,Glasgow,Scotland,FALSE,25.928571428571427,70.71428571428571,0,0
2019-06-08,UEFA Euro qualification,Cyprus,Scotland,-1,L,1,2,0,NA,Glasgow,Scotland,FALSE,24.785714285714285,70.71428571428572,2,0
2019-06-08,UEFA Euro qualification,Belgium,Kazakhstan,1,W,3,0,3,NA,Brussels,Belgium,FALSE,28.142857142857142,70.71428571428572,0,0
2019-06-08,UEFA Euro qualification,Kazakhstan,Belgium,-1,L,0,3,0,NA,Brussels,Belgium,FALSE,25.714285714285715,70.71428571428572,3,0
2019-06-08,UEFA Euro qualification,Armenia,Liechtenstein,1,W,3,0,3,NA,Yerevan,Armenia,FALSE,27.785714285714285,70.71428571428571,1,0
2019-06-08,UEFA Euro qualification,Liechtenstein,Armenia,-1,L,0,3,0,NA,Yerevan,Armenia,FALSE,24.857142857142858,70.71428571428572,0,0
