date,tournament,team,opponent,location,result,score,opp_score,points,xg,city,country,neutral,age,min,crdY,crdR
2021-11-12,FIFA World Cup qualification,Italy,Switzerland,1,D,1,1,1,NA,Rome,Italy,FALSE,26.25,61.875,2,0
2021-11-12,FIFA World Cup qualification,Switzerland,Italy,-1,D,1,1,1,NA,Rome,Italy,FALSE,26.5625,61.875,3,0
2014-03-05,Friendly,Wales,Iceland,1,W,3,1,3,NA,Cardiff,Wales,FALSE,25.375,61.875,0,0
2014-03-05,Friendly,Iceland,Wales,-1,L,1,3,0,NA,Cardiff,Wales,FALSE,25.933333333333334,66,1,0
2021-11-12,FIFA World Cup qualification,Moldova,Scotland,1,L,0,2,0,NA,Chișinău,Moldova,FALSE,26.875,61.875,5,0
2021-11-12,FIFA World Cup qualification,Scotland,Moldova,-1,W,2,0,3,NA,Chișinău,Moldova,FALSE,26.133333333333333,66,1,0
2021-11-12,FIFA World Cup qualification,Denmark,Faroe Islands,1,W,3,1,3,NA,Copenhagen,Denmark,FALSE,26.5625,61.875,1,0
2021-11-12,FIFA World Cup qualification,Faroe Islands,Denmark,-1,L,1,3,0,NA,Copenhagen,Denmark,FALSE,28.133333333333333,66,3,0
2021-11-12,FIFA World Cup qualification,Austria,Israel,1,W,4,2,3,NA,Klagenfurt,Austria,FALSE,27.4,66,1,0
2021-11-12,FIFA World Cup qualification,Israel,Austria,-1,L,2,4,0,NA,Klagenfurt,Austria,FALSE,27.133333333333333,66,1,0
2021-11-12,FIFA World Cup qualification,England,Albania,1,W,5,0,3,NA,London,England,FALSE,25.0625,61.875,0,0
2021-11-12,FIFA World Cup qualification,Albania,England,-1,L,0,5,0,NA,London,England,FALSE,26.375,61.875,4,0
2021-11-12,FIFA World Cup qualification,Andorra,Poland,1,L,1,4,0,NA,Andorra la Vella,Andorra,FALSE,26.4375,60,3,1
2021-11-12,FIFA World Cup qualification,Poland,Andorra,-1,W,4,1,3,NA,Andorra la Vella,Andorra,FALSE,28.0625,61.875,2,0
2021-11-12,FIFA World Cup qualification,Hungary,San Marino,1,W,4,0,3,NA,Budapest,Hungary,FALSE,25.25,61.875,0,0
2021-11-12,FIFA World Cup qualification,San Marino,Hungary,-1,L,0,4,0,NA,Budapest,Hungary,FALSE,26,61.875,1,0
2021-11-12,FIFA World Cup qualification,Uruguay,Argentina,1,L,0,1,0,NA,Montevideo,Uruguay,FALSE,27,66,1,0
2021-11-12,FIFA World Cup qualification,Argentina,Uruguay,-1,W,1,0,3,NA,Montevideo,Uruguay,FALSE,27.75,61.875,1,0
2021-11-13,Friendly,Nicaragua,Cuba,1,W,2,0,3,NA,Managua,Nicaragua,FALSE,27.666666666666668,66,3,0
2021-11-13,Friendly,Cuba,Nicaragua,-1,L,0,2,0,NA,Managua,Nicaragua,FALSE,25.066666666666666,62.93333333333333,2,1
2021-11-13,Friendly,Sierra Leone,Comoros,0,L,0,2,0,NA,Sapanca,Turkey,TRUE,25.941176470588236,58.23529411764706,0,0
2021-11-13,Friendly,Comoros,Sierra Leone,0,W,2,0,3,NA,Sapanca,Turkey,TRUE,27.875,61.875,1,0
2021-11-13,FIFA World Cup qualification,Zambia,Mauritania,1,W,4,0,3,NA,Lusaka,Zambia,FALSE,25.5625,61.875,1,0
